Arabic_text,ar:manual_sentiment,ar:manual_confidence
"مو التعصب الاعمى الي بيدل على التفاهة وعدم الانتماء للاشياء القيمة .. ",Negative,0.9155
"والاغلب نهريب والاحسن انو عم يجي وباء على الفروج قبل ما يكبر ",Negative,0.6119
لك تاني شغله هو لسا بالانعاش ,Negative,0.8152
ممكن ينفر منو واولهم اصحاب التعليقات المثالية ,Negative,0.6155
حسيت بنفس احساسك ,Positive,0.699
مو كل اصبيعك متل بعض يعني اذا أنتو بتعرفو قصة ,Positive,0.3113
قلت وصلت لنا الازمه العالميه ,Negative,0.8953
يالله حاجتكن اليوم بنكمل بكرا ,Neutral,0.5018
لانو الشب و الشبة بكونو في سن مش قادرين يحددو شو الي بدهم ياه ,Negative,0.7981
نحنا مش عم نعمل فحص بالمدرسة .. ,Negative,0.6025
"عن حالي بستخدمو عادي بالعكس أئرب العيله المشتته بأنحاء المعموره ",Positive,0.4992
اللله يعطيكي الف عافيه يارب ,Positive,1
بعدوا بعدوا لحتى اسبق جوريه الف اهلا والف سهلا بهالطلة الحلوة بيناتنا ,Positive,1
"أتمنى أن تتحققي كل ماتصبوا إليه نفسك من آمال سناء ",Positive,1
يمكن لأنه في الغدره مأحد يشوفه او يمكن مرد ذلك للأسطورة القديمة عن الرجل الذي يتحول الى ذئب عند اكتمال القمر اخوك ابو عبدالله  ,Neutral,0.6274
خدوه على ئد عقلويعني في عاقل بيعمل هيك شي ؟ ,Negative,0.82
"و بعدين بيجمعوا هي الشغلات و الألوان بكتاب و بيعرضوه على دور الأزياء العالمية ",Positive,0.6041
بس اخليكم مع الصور ,Neutral,0.7062
تمنياتي لكم بالتوفيق والسعاده ,Positive,0.9109
يعني كل هدول ما بيعرف كل واحد يأبدع لحالو ,Negative,0.8142
هدول شخصين مو واحد متل ما مبين للوهلة الأولى ,Neutral,0.7009
إذا كان مش مهتم بالمرة .. ,Negative,0.7992
بصيروا بدون يوقفوا ضد هالتعليق ... ,Negative,0.7318
بكرة بيعملو شلة لحالهم و بتشتغل حرب النقّيفات بالمنتدى ,Negative,0.8982
طلب واحد بس تروحي و ترجعي بالسلامة مش أكتر علشان ما تقل عليكي اوكي ؟؟؟ ,Positive,0.7016
تحية طيبة، خلينا نرحب بالآنسة ساندرة كفرد جديد في عيلتنا يلي عم تكبر، وعم نستنا منك آنستي الكريمة مايفيدنا بإذن الله تعالى، ولكم السلام، إياد  ,Positive,1
عمو أميررر الحباب كل عام وأنت بألف خير يارب وعقبال ما تفرح فيك الفرحة الكبيرة ونشوف ولادك عم ينطو على اكتافك يارب تحياتي  ,Positive,0.9228
كلهم نجحين ,Positive,1
لتكون نازل بشي نفق وعم تكسب دولارااات ,Neutral,0.3719
بس لازم يكون مترجم ,Neutral,0.6326
والله الهيئة دم حامي و ما بتقبل انتقادات يعني والله مالنا غير نحكيلك معو مافي كلام ,Negative,0.8442
لكن شو الواحد بدو غير هيك يارح يخجل ويترك الفرجة ... ,Negative,0.5351
انا بقول بيكفينا ٨٠٪  ,Neutral,0.4651
والله خليتني اشتهي قرص العجة ,Positive,0.7604
وما كانت انتي بس تشوفيها بلشت تبهدل هربي من الواجهة لحتى تهدا ,Negative,0.6382
أخي ، متل ما أنت رضيت تابع معاها بالرغم من عدم عذريتها ,Negative,0.5938
أخي «batman» كل عام وانته بالف خير وينعاد عليك يا رب بالخير والبركة ,Positive,1
ولو زياد كنت تخبرنا كنا قمنا بواجبنا وزرناك بالمشفى او حتى بعتنالك بوكيه ورد .  ,Positive,0.6959
"علي العموم طموني موضوع عن جد بجسد المراءة الاردنية الفلسطينية ",Positive,0.649
بس شكلو حلو عجبني ، ,Positive,1
الهدية مابنردها ,Positive,0.7286
هه و رح االب الشحاطة منشان تقوى الخناقة اكتر و اكتر ,Negative,0.9054
وبدون غلط على التاني  ,Negative,0.403
حلوة هالقصة كتير دمدوم ,Positive,1
بكل الحالات .. أنا معكن .. ,Positive,0.8056
ان شا الله كل عام وانتا بخير حبيبي وسيم وعقبال المليون سنة تقبل مني هالهدية البسيطة بتمنى تعجبك انتظر لتحمل الصورة مشان تمارس هوايتك  ,Positive,1
أحييك يا صديقتي الجميلة والمتألقة على مر الكلمات حكمت داوود ,Positive,1
واتفرج على هل تلجات الله يبعت الخير لهل بلد ,Positive,0.5141
الي بدو حريات يروح يشوف الحرية الغربية الي هو وغيرو متشدق فيها ويشوف الانحلال ,Negative,0.7998
مافي أي رشاوي من ورا هل تخبايه ؟؟ «3-» انخفاض في عدد الحوادث ؟؟؟ «4-» ,Negative,0.6357
خاب ظني بك يا عفش طلعت متل اللي قبلك بلش التأمر على نادي الجزيرة هذا شغل حموات ، لأنو بتكون حماتو اللي بلغت عنو ,Negative,1
انو اجينا عالمشفى مشان نبدأ الشغل ,Neutral,0.5544
ولا نجعل الدين مبرر لفرض ارائنا على غيرنا ,Positive,0.496
وياريت غرفة بالفندق للرجال المتزوجين ... ,Positive,0.5008
يعني بالمختصر ... سطحونامنشكيون لا لله ,Negative,0.8997
شوفي يا ستي هاد بقولك في مرة واحد محشش متردد يقطع الشارع راح قطعه فدعسته سيارة فقال وشرفي كنت عارف ,Positive,0.451
وهيك بتضل الوحة خلنج .. ,Negative,0.4887
و هذا الحمل يحدث الآن في مجتمعنا كثيرا و مع المراهقات تحديداً بسبب الجهل ! ,Negative,1
حي و هيلموهم زي تعون كرامة !!  ,Negative,0.6306
بالطرح بس ما كتير لقيت انو في مبالغة ,Neutral,0.4221
لك شو هاد صراصير مشويه ... ,Negative,0.729
ةممكن اي شخص اذا عجبو موضوعو يعلق ,Neutral,0.4657
من بعد غيب الت اول مشاركة بدي ارجع حطا بدي حطا بموضوعك ... ,Positive,0.6989
مين يحرررنا الوجوه البريئه الي متلي ومتل بنت فلسطين بتنسجن قلولي بلا  ,Negative,0.8963
"وعلى فكرة لاحظوا شباب وصبايا لما الواحد بكون بمزاج سيء ",Negative,0.6992
"كنت كل ما شغلة كهربائية تنتزع ، جيب شنتاية العدة وفك ، من اصل شي ١٠٠ قطعة يمكن مصلح معي شي ١٠ ، اما الباقي كان يزيد غراض بعد ما سكرهن ، ما اعرف وين بدي حطهن !!! ",Negative,0.7392
"ولو فكر شوي بلاقي انو كان لازم يقتل حالو ١٠٠ مرة قبل ما يقتلها ",Negative,1
ممم الانانيه شغله نسبيه يعني في رجال انانين ,Negative,0.5736
"اهلين ابو الزوز وان شاء الله اتكون مبسوط معنا ال يعنى انا يلى معمرة بهالمنتدى ههه لا بس بجد منتدى حلو وبسعدك  ",Positive,1
المهم الله بيعين واقع ولازم نعيشوو ... ,Negative,0.6712
وراغب الموجب اول مين رحب فيني ... ,Positive,0.9028
وبتمنى تكتب الهطولات المطرية والثلجية تكشف عيوب الطرقات والصرف الصحي في كافة المحافظات ,Negative,0.7061
فشلون إذا دقوا الخمسة سوى !!! ,Negative,0.4973
وارجع شوف الفرح والأبتسامة على وجه . ... ,Positive,1
ومابعرف اكتير شغلات حدا يدلنى ,Neutral,0.5169
لألألألأ يا فاقد ولا ماتتهابل اليوم بقا بدو يسلخنا ويعلقنا .. ههه متوحش الزلمه هادا بعدين بخفف دم بقول ليش جيين قلنالو مكع الزهق ,Negative,0.8231
ويلا نحنا شعب لو شو ما تغنى منرقص عليه ,Positive,0.7039
بس هادا الرجل اللي راح وخطبها ,Neutral,0.4877
وهو لحالو اكيد رح يعرف غلطه ,Negative,0.4159
يعني اذا انا هلئ رحت نبشت زبالة بالشارع وفي منتصف النهار شو رح يكون العقاب يا ترى ... ؟؟؟ لم الزبالة من اول وجديد !!! ,Negative,0.7994
الاسعار هو انو ما انخفضت وانو يمكن بس جارك حابب يعمل تنزيلات ,Negative,0.36
ولا الناس ماعادت غير تشوف يلي بيهمها وهاد مجرد رأيي  ,Negative,0.8551
ولن أخفي عنك هذه القصة لربما حقيقية ؟؟؟ ,Neutral,0.6652
"ان شاء بالروية ما تكون من الخسرانين تسكن عند امها لفترة هيدي صعبة شويي ",Positive,0.5015
بعدن تقريبا بكل شي واكلاتن طيبين ي وبيكرهوا السورية كتير «:walakelmi:» ,Negative,0.7382
وقليل الأصل سيرضاها لانو مو خسران ,Negative,0.8077
مش لهل الدرجة ، بس أنا اللي بعرفوا انو هيدا أبسط الشي بينعمل هو تأمين خط إمدادات دائم للأسلحة لا يتأثر بالحروب !  ,Neutral,0.3983
مهضومين الحماصنة مش هيك ؟؟؟ ,Positive,0.8159
لعم يصير انه الدول الغربية عم تحرك المتعصبين بالدول العربية ,Negative,0.814
للأسف مابظن ,Negative,1
وهو بغزة انها تستقدمه كونه يعتبر زوجها وتعطيه اقامه غير هيك ماراح يقدر يجي ,Negative,0.3687
ايه فهمانة عليكي .. مشان نتقل الهدايا بركي بترضي .. ,Positive,0.3065
"وكل ماصار سوء تفاهم بالخطة بينزل حضرتو عالملعب وبيحل الامور بمعرفتو ههه ",Negative,0.5449
لولي بربي هاي نهفة ٢٠٠٨ ههه بجد شو هاد بس كل بلد الها عاداتها و تقاليدها الله يكون بعونهون مشكووورة لولي  ,Positive,0.3885
وأنا بدوري بتشكركون فردا فردا ... ,Positive,1
فالإنترنيت رح يخفي كل المحادثات اللي بتصير ... ,Negative,0.6023
وان كانت زنت فتعاقب هي والزاني ,Negative,0.4984
وتخيريه اذا ما بتأدري تستمري بهالشكل ,Negative,0.7107
وبالنسبة لموضوع الهرمونات ، يوم الجمعة خلصت منهم ، بعد ماطلعولي روحي وبأكدلك و حسب مادرست و قرأت وسمعت انو كلامك صحيييح ,Positive,0.496
